Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Rafael dos Anjos,Loss,28–10,Colby Covington,Decision (unanimous),UFC 225,"June 9, 2018",5,5:00
Rafael dos Anjos,Win,28–9,Robbie Lawler,Decision (unanimous),UFC on Fox: Lawler vs. dos Anjos,"December 16, 2017",5,5:00
Rafael dos Anjos,Win,27–9,Neil Magny,Submission (arm-triangle choke),UFC 215,"September 9, 2017",1,3:43
Rafael dos Anjos,Win,26–9,Tarec Saffiedine,Decision (unanimous),UFC Fight Night: Holm vs. Correia,"June 17, 2017",3,5:00
Rafael dos Anjos,Loss,25–9,Tony Ferguson,Decision (unanimous),The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,"November 5, 2016",5,5:00
Rafael dos Anjos,Loss,25–8,Eddie Alvarez,TKO (punches),UFC Fight Night: dos Anjos vs. Alvarez,"July 7, 2016",1,3:49
Rafael dos Anjos,Win,25–7,Donald Cerrone,TKO (body kick and punches),UFC on Fox: dos Anjos vs. Cerrone 2,"December 19, 2015",1,1:06
Rafael dos Anjos,Win,24–7,Anthony Pettis,Decision (unanimous),UFC 185,"March 14, 2015",5,5:00
Rafael dos Anjos,Win,23–7,Nate Diaz,Decision (unanimous),UFC on Fox: dos Santos vs. Miocic,"December 13, 2014",3,5:00
Rafael dos Anjos,Win,22–7,Benson Henderson,TKO (punch),UFC Fight Night: Henderson vs. dos Anjos,"August 23, 2014",1,2:32
Rafael dos Anjos,Win,21–7,Jason High,TKO (punches),UFC Fight Night: Henderson vs. Khabilov,"June 7, 2014",2,3:36
Rafael dos Anjos,Loss,20–7,Khabib Nurmagomedov,Decision (unanimous),UFC on Fox: Werdum vs. Browne,"April 19, 2014",3,5:00
Rafael dos Anjos,Win,20–6,Donald Cerrone,Decision (unanimous),UFC Fight Night: Condit vs. Kampmann 2,"August 28, 2013",3,5:00
Rafael dos Anjos,Win,19–6,Evan Dunham,Decision (unanimous),UFC on FX: Belfort vs. Rockhold,"May 18, 2013",3,5:00
Rafael dos Anjos,Win,18–6,Mark Bocek,Decision (unanimous),UFC 154,"November 17, 2012",3,5:00
Rafael dos Anjos,Win,17–6,Anthony Njokuani,Decision (unanimous),UFC on Fuel TV: Munoz vs. Weidman,"July 11, 2012",3,5:00
Rafael dos Anjos,Win,16–6,Kamal Shalorus,Submission (rear-naked choke),UFC on Fuel TV: Korean Zombie vs. Poirier,"May 15, 2012",1,1:40
Rafael dos Anjos,Loss,15–6,Gleison Tibau,Decision (split),UFC 139,"November 19, 2011",3,5:00
Rafael dos Anjos,Win,15–5,George Sotiropoulos,KO (punch),UFC 132,"July 2, 2011",1,0:59
Rafael dos Anjos,Loss,14–5,Clay Guida,Submission (jaw injury),UFC 117,"August 7, 2010",3,1:51
Rafael dos Anjos,Win,14–4,Terry Etim,Submission (armbar),UFC 112,"April 10, 2010",2,4:30
Rafael dos Anjos,Win,13–4,Kyle Bradley,Decision (unanimous),UFC Fight Night: Maynard vs. Diaz,"January 11, 2010",3,5:00
Rafael dos Anjos,Win,12–4,Rob Emerson,Decision (unanimous),UFC 103,"September 19, 2009",3,5:00
Rafael dos Anjos,Loss,11–4,Tyson Griffin,Decision (unanimous),UFC Fight Night: Condit vs. Kampmann,"April 1, 2009",3,5:00
Rafael dos Anjos,Loss,11–3,Jeremy Stephens,KO (punches),UFC 91,"November 15, 2008",3,0:39
Rafael dos Anjos,Win,11–2,Takafumi Otsuka,Decision (split),Fury FC 6 - High Voltage,"July 12, 2008",3,5:00
Rafael dos Anjos,Win,10–2,Takaichi Hirayama,Submission (armbar),Pancrase: Shining 5,"June 1, 2008",1,1:25
Rafael dos Anjos,Win,9–2,Gabriel Veiga,Decision (unanimous),Fury FC 5 - Final Conflict,"December 6, 2007",3,5:00
Rafael dos Anjos,Win,8–2,Danilo Cherman,Submission (kimura),Fury FC 4 - High Voltage,"August 4, 2007",2,3:38
Rafael dos Anjos,Win,7–2,Maurício Souza,Submission (rear-naked choke),XFC - Brazil,"April 29, 2007",1,6:24
Rafael dos Anjos,Win,6–2,Thiago Minu,Submission (rear-naked choke),XFC - Brazil,"April 29, 2007",1,7:28
Rafael dos Anjos,Win,5–2,Johil de Oliveira,Submission (rear-naked choke),Juiz de Fora - Fight 4,"April 7, 2007",1,2:50
Rafael dos Anjos,Win,4–2,Mateus Trindade,Decision (unanimous),Shooto - Brazil 11,"March 24, 2007",3,5:00
Rafael dos Anjos,Win,3–2,Diogo Oliveira,Submission (armbar),TFMMA - Top Fighter MMA 2,"October 25, 2006",2,N/A
Rafael dos Anjos,Loss,2–2,Jorge Britto,Decision (split),Arena - BH Combat,"June 4, 2005",3,5:00
Rafael dos Anjos,Win,2–1,Felipe Arinelli,TKO (doctor stoppage),Juiz de Fora - Fight 2,"April 26, 2005",2,N/A
Rafael dos Anjos,Win,1–1,João Paulo Almeida,Decision (unanimous),Arena - BH,"October 9, 2004",3,5:00
Rafael dos Anjos,Loss,0–1,Adriano Abu,Decision (split),Juiz de Fora - Fight 1,"September 25, 2004",3,5:00
Walt Harris,Win,13–7 (1),Aleksei Oleinik,KO (punches),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",1,0:12
Walt Harris,Win,12–7 (1),Sergey Spivak,TKO (knees and punches),UFC Fight Night: Iaquinta vs. Cowboy,"May 4, 2019",1,0:50
Walt Harris,NC,11–7 (1),Andrei Arlovski,NC (overturned),UFC 232,"December 29, 2018",3,5:00
Walt Harris,Win,11–7,Daniel Spitz,TKO (punches and elbows),UFC Fight Night: Rivera vs. Moraes,"June 1, 2018",2,4:59
Walt Harris,Loss,10–7,Mark Godbeer,DQ (illegal head kick),UFC 217,"November 4, 2017",1,4:29
Walt Harris,Loss,10–6,Fabrício Werdum,Submission (armbar),UFC 216,"October 7, 2017",1,1:05
Walt Harris,Win,10–5,Cyril Asker,TKO (punches and elbows),UFC Fight Night: Holm vs. Correia,"June 17, 2017",1,1:44
Walt Harris,Win,9–5,Chase Sherman,KO (knee and punches),UFC Fight Night: Rodríguez vs. Penn,"January 15, 2017",2,2:41
Walt Harris,Loss,8–5,Shamil Abdurakhimov,Decision (split),UFC Fight Night: Lineker vs. Dodson,"October 1, 2016",3,5:00
Walt Harris,Win,8–4,Cody East,TKO (punches),UFC 197,"April 23, 2016",1,4:18
Walt Harris,Loss,7–4,Soa Palelei,TKO (punches),UFC Fight Night: Rockhold vs. Bisping,"November 7, 2014",2,4:49
Walt Harris,Win,7–3,D.J. Linderman,KO (punches),Titan FC 28,"May 16, 2014",1,4:12
Walt Harris,Loss,6–3,Nikita Krylov,TKO (head kick and punches),UFC on Fox: Henderson vs. Thomson,"January 25, 2014",1,0:25
Walt Harris,Loss,6–2,Jared Rosholt,Decision (unanimous),The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"November 30, 2013",3,5:00
Walt Harris,Win,6–1,Tony Melton,TKO (punches),Strike Hard Productions 24,"June 15, 2013",1,2:00
Walt Harris,Win,5–1,Josh Robertson,TKO (punches),Strike Hard Productions 20,"December 8, 2012",1,1:06
Walt Harris,Win,4–1,Anthony Hamilton,KO (punches),Superior Cage Combat 4: Grove vs. Silva,"February 16, 2012",1,1:15
Walt Harris,Win,3–1,Cedric James,KO (punches),Fight Time 7: The Return,"October 7, 2011",1,0:22
Walt Harris,Win,2–1,Wes Little,KO (punch),Fight Force International: Blood & Sand 9,"May 7, 2011",1,1:54
Walt Harris,Loss,1–1,Chris Barnett,Decision (unanimous),World Extreme Fighting 46,"April 22, 2011",3,5:00
Walt Harris,Win,1–0,Justin Thornton,TKO (punches),Hess Extreme Fighting,"March 15, 2011",1,0:16
Aleksei Oleinik,Loss,57–13–1,Walt Harris,KO (punch),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",1,0:12
Aleksei Oleinik,Loss,57–12–1,Alistair Overeem,TKO (knees and punches),UFC Fight Night: Overeem vs. Oleinik,"April 20, 2019",1,4:45
Aleksei Oleinik,Win,57–11–1,Mark Hunt,Submission (rear-naked choke),UFC Fight Night: Hunt vs. Oleinik,"September 15, 2018",1,4:26
Aleksei Oleinik,Win,56–11–1,Júnior Albini,Submission (Ezekiel choke),UFC 224,"May 12, 2018",1,1:45
Aleksei Oleinik,Loss,55–11–1,Curtis Blaydes,TKO (doctor stoppage),UFC 217,"November 4, 2017",2,1:56
Aleksei Oleinik,Win,55–10–1,Travis Browne,Submission (neck crank),UFC 213,"July 8, 2017",2,3:44
Aleksei Oleinik,Win,54–10–1,Viktor Pešta,Submission (Ezekiel choke),UFC Fight Night: Rodríguez vs. Penn,"January 15, 2017",1,2:57
Aleksei Oleinik,Loss,53–10–1,Daniel Omielańczuk,Decision (majority),UFC Fight Night: McDonald vs. Lineker,"July 13, 2016",3,5:00
Aleksei Oleinik,Win,53–9–1,Jared Rosholt,KO (punches),UFC Fight Night: Edgar vs. Swanson,"November 22, 2014",1,3:21
Aleksei Oleinik,Win,52–9–1,Anthony Hamilton,Submission (scarf-hold headlock),UFC Fight Night: Swanson vs. Stephens,"June 28, 2014",1,2:18
Aleksei Oleinik,Win,51–9–1,Mirko Cro Cop,Submission (scarf-hold headlock),Legend Fight Show 2,"November 8, 2013",1,4:42
Aleksei Oleinik,Win,50–9–1,Dion Staring,Submission (arm-triangle choke),ProFC 50,"October 16, 2013",1,1:41
Aleksei Oleinik,Win,49–9–1,Jeff Monson,Submission (rear-naked choke),Oplot Challenge 54,"June 20, 2013",2,2:12
Aleksei Oleinik,Win,48–9–1,Tony Lopez,Submission (triangle choke),Oplot Challenge 53,"April 20, 2013",3,3:19
Aleksei Oleinik,Win,47–9–1,Leo Pla,TKO (punches),Oplot Challenge 43,"March 16, 2013",1,2:56
Aleksei Oleinik,Win,46–9–1,Martin Hudey,Submission (rear-naked choke),Oplot Challenge 12,"November 10, 2012",1,1:48
Aleksei Oleinik,Win,45–9–1,Mike Stewart,Submission (scarf-hold headlock),WCMMA 1,"September 15, 2012",2,1:03
Aleksei Oleinik,Win,44–9–1,Jerry Otto,Submission (Ezekiel choke),SK Oplot 2,"May 13, 2012",1,2:20
Aleksei Oleinik,Win,43–9–1,Sergey Terezinov,Submission (armbar),SK Oplot 1,"March 25, 2012",1,1:05
Aleksei Oleinik,Loss,42–9–1,Jeff Monson,Decision (split),M-1 Challenge 31,"March 16, 2012",3,5:00
Aleksei Oleinik,Loss,42–8–1,Magomed Malikov,TKO (punches),Fight Star,"July 22, 2011",1,2:39
Aleksei Oleinik,Win,42–7–1,Ernest Kostanyan,Submission (rear-naked choke),Razdolie Cup,"June 26, 2011",1,1:22
Aleksei Oleinik,Loss,41–7–1,Neil Grove,TKO (body kick and punches),Bellator 29,"September 16, 2010",1,0:45
Aleksei Oleinik,Win,41–6–1,Mike Hayes,Decision (split),Bellator 26,"August 26, 2010",3,5:00
Aleksei Oleinik,Loss,40–6–1,Michał Kita,TKO (punches),IAFC: Mayor's Cup 2009,"November 28, 2009",1,1:17
Aleksei Oleinik,Draw,38–5–1,Rogent Lloret,Draw (unanimous),M-1 Global: Breakthrough,"August 28, 2009",3,5:00
Aleksei Oleinik,Win,38–5,Lee Sang-Soo,Submission (Ezekiel choke),M-1 Challenge 12: USA,"February 21, 2009",2,4:27
Aleksei Oleinik,Win,37–5,Jessie Gibbs,Submission (Ezekiel choke),M-1 Challenge 11: 2009 Challenge Finals,"January 11, 2009",2,3:42
Aleksei Oleinik,Win,36–5,Islam Dadalov,TKO (punches),ProFC 4: President's Cup,"October 25, 2008",1,2:33
Aleksei Oleinik,Win,34–5,Telman Sherifov,Submission (guillotine choke),ProFC 3: Heavyweight Grand Prix,"October 4, 2008",1,1:25
Aleksei Oleinik,Loss,31–5,Konstantyn Stryzhak,TKO (punches),CSFU: Champions League,"September 13, 2008",1,4:20
Aleksei Oleinik,Win,30–4,Alexander Timonov,Submission (Ezekiel choke),M-1 Challenge 4: Battle on the Neva 2,"June 27, 2008",1,1:09
Aleksei Oleinik,Win,29–4,Daniel Dowda,Decision (unanimous),KSW 9,"May 9, 2008",2,5:00
Aleksei Oleinik,Loss,28–4,Chris Tuchscherer,Decision (unanimous),YAMMA Pit Fighting,"April 11, 2008",1,5:00
Aleksei Oleinik,Win,27–3,Gela Getsadze,TKO (punches),Yaroslavl Open Championship 2007,"December 14, 2007",1,1:48
Aleksei Oleinik,Win,24–3,Timur Gasanov,Submission (Ezekiel choke),Perm Region MMA Federation: Cup of Professional MMA,"November 23, 2007",1,1:19
Aleksei Oleinik,Win,21–3,Krzysztof Kułak,Submission (bulldog choke),KSW 8,"November 10, 2007",1,2:50
Aleksei Oleinik,Win,18–3,Shamil Nurmagomedov,Submission (Ezekiel choke),Legion Fight 1,"October 20, 2007",1,N/A
Aleksei Oleinik,Loss,17–3,Chael Sonnen,Decision (unanimous),BodogFight,"December 2, 2006",3,5:00
Aleksei Oleinik,Win,17–2,Ishkhan Zakharian,Submission (triangle choke),Legion Fight: Black Sea Cup,"August 15, 2006",1,1:21
Aleksei Oleinik,Win,16–2,Vladimir Rudakov,Submission (triangle choke),IAFC: Cup of Russia in Professional Pankration,"April 14, 2006",1,2:41
Aleksei Oleinik,Loss,13–2,Flavio Luiz Moura,Technical Submission (rear-naked choke),M-1: Middleweight Grand Prix,"October 9, 2004",1,1:11
Aleksei Oleinik,Win,12–1,Azred Telkusheev,Submission (heel hook),M-1 Middleweight Russia Cup,"August 27, 2004",1,0:38
Aleksei Oleinik,Win,9–1,Igor Bondarenko,Submission (rear-naked choke),Land of Peresvit,"December 7, 2001",1,2:03
Aleksei Oleinik,Win,7–1,Gennadiy Matsigora,Submission (armbar),InterPride 1999,"May 16, 1999",1,2:03
Aleksei Oleinik,Win,5–1,Clarence Thatch,Submission (punches),International Super Challenge 1998,"March 16, 1998",1,3:43
Aleksei Oleinik,Loss,4–1,Leonid Efremov,Submission (rear-naked choke),IAFC: Absolute Fighting Championship 2,"April 30, 1997",1,2:48
Aleksei Oleinik,Win,3–0,Artem Kondratko,Submission (rear-naked choke),Minamoto Cup: Ukraine Open No Holds Barred Championship,"Nov 10, 1996",1,4:09
Greg Hardy,Win,5–1,Juan Adams,TKO (punches),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",1,0:45
Greg Hardy,Win,4–1,Dmitry Smolyakov,TKO (punches),UFC Fight Night: Jacaré vs. Hermansson,"April 27, 2019",1,2:15
Greg Hardy,Loss,3–1,Allen Crowder,DQ (illegal knee),UFC Fight Night: Cejudo vs. Dillashaw,"January 19, 2019",2,2:28
Greg Hardy,Win,3–0,Rasheem Jones,KO (punches),Xtreme Fight Night 352,"September 29, 2018",1,0:53
Greg Hardy,Win,2–0,Tebaris Gordon,TKO (punches),Dana White's Tuesday Night Contender Series 16,"August 7, 2018",1,0:17
Greg Hardy,Win,1–0,Austen Lane,KO (punches),Dana White's Tuesday Night Contender Series 9,"June 12, 2018",1,0:57
Juan Adams,Loss,5–2,Greg Hardy,TKO (punches),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",1,0:45
Juan Adams,Loss,5–1,Arjan Bhullar,Decision (uanimous),UFC Fight Night: Iaquinta vs. Cowboy,"May 4, 2019",3,5:00
Juan Adams,Win,5–0,Chris de la Rocha,TKO (punches),UFC on Fox: Lee vs. Iaquinta 2,"December 15, 2018",3,0:58
Juan Adams,Win,4–0,Shawn Teed,TKO (punches),"Dana White's Tuesday Night Contender Series Season 2, Episode 7","July 31, 2018",1,4:09
Juan Adams,Win,3–0,Dwight Gipson,TKO  (submission to punches),LFA 32,"January 26, 2018",1,4:09
Juan Adams,Win,2–0,Brice Ritani-Coe,TKO (punches),LFA 26,"November 3, 2017",1,1:33
Juan Adams,Win,1–0,Chris Rose,TKO (punches),LFA 14,"June 23, 2017",1,1:11
Dan Hooker,Win,18–8,James Vick,KO (punches),UFC on ESPN: dos Anjos vs. Edwards,20 July 2019,1,2:33
Dan Hooker,Loss,17–8,Edson Barboza,TKO (punch to the body),UFC on Fox: Lee vs. Iaquinta 2,15 December 2018,3,2:19
Dan Hooker,Win,17–7,Gilbert Burns,KO (punches),UFC 226,7 July 2018,1,2:28
Dan Hooker,Win,16–7,Jim Miller,KO (knee),UFC Fight Night: Barboza vs. Lee,21 April 2018,1,3:00
Dan Hooker,Win,15–7,Marc Diakiese,Submission (guillotine choke),UFC 219,30 December 2017,3,0:42
Dan Hooker,Win,14–7,Ross Pearson,KO (knee),UFC Fight Night: Lewis vs. Hunt,11 June 2017,2,3:02
Dan Hooker,Loss,13–7,Jason Knight,Decision (unanimous),UFC Fight Night: Whittaker vs. Brunson,27 November 2016,3,5:00
Dan Hooker,Win,13–6,Mark Eddiva,Submission (guillotine choke),UFC Fight Night: Hunt vs. Mir,20 March 2016,1,1:24
Dan Hooker,Loss,12–6,Yair Rodríguez,Decision (unanimous),UFC 192,3 October 2015,3,5:00
Dan Hooker,Win,12–5,Hatsu Hioki,KO (head kick and punches),UFC Fight Night: Miocic vs. Hunt,10 May 2015,2,4:13
Dan Hooker,Loss,11–5,Maximo Blanco,Decision (unanimous),UFC Fight Night: Hunt vs. Nelson,20 September 2014,3,5:00
Dan Hooker,Win,11–4,Ian Entwistle,TKO (elbows),UFC Fight Night: Te-Huna vs. Marquardt,28 June 2014,1,3:34
Dan Hooker,Win,10–4,Nick Patterson,TKO (punches),AFC 6,24 August 2013,3,0:34
Dan Hooker,Win,9–4,Rusty McBride,Submission (rear-naked choke),AFC 5,10 May 2013,1,1:31
Dan Hooker,Win,8–4,Sihle Khuboni,Submission (triangle choke),Shuriken MMA: Clash of the Continents,13 October 2012,1,2:53
Dan Hooker,Win,7–4,Chengjie Wu,TKO (doctor stoppage),Legend FC 9,16 June 2012,1,3:44
Dan Hooker,Win,6–4,Rusty McBride,TKO (doctor stoppage),AFC 3,14 April 2012,2,3:57
Dan Hooker,Loss,5–4,Haotian Wu,Submission (rear-naked choke),Legend FC 8,30 March 2012,2,4:52
Dan Hooker,Win,5–3,Yuma Ishizuka,Decision (unanimous),AFC 2,3 September 2011,3,5:00
Dan Hooker,Win,4–3,Scott MacGregor,Submission (guillotine choke),SFC 8,30 July 2011,1,4:42
Dan Hooker,Loss,3–3,Rob Lisita,Decision (split),SCF 6,3 July 2010,3,5:00
Dan Hooker,Loss,3–2,Sonny Brown,Submission (rear-naked choke),Rize 4,27 March 2010,2,2:00
Dan Hooker,Win,3–1,Ken Yasuda,TKO (eye injury),Rize 3,5 December 2009,1,3:12
Dan Hooker,Win,2–1,Adam Calver,Submission (armbar),SCF 4,14 November 2009,1,2:52
Dan Hooker,Loss,1–1,Adam Calver,Decision (split),SCF 3,25 July 2009,3,5:00
Dan Hooker,Win,1–0,Mike Taylor,Submission (rear-naked choke),SCF 2,7 March 2009,1,0:48
James Vick,Loss,13–4,Dan Hooker,KO (punches),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",1,2:33
James Vick,Loss,13–3,Paul Felder,Decision (unanimous),UFC on ESPN: Ngannou vs. Velasquez,"February 17, 2019",3,5:00
James Vick,Loss,13–2,Justin Gaethje,KO (punch),UFC Fight Night: Gaethje vs. Vick,"August 25, 2018",1,1:27
James Vick,Win,13–1,Francisco Trinaldo,Decision (unanimous),UFC Fight Night: Cowboy vs. Medeiros,"February 18, 2018",3,5:00
James Vick,Win,12–1,Joseph Duffy,TKO (punches),UFC 217,"November 4, 2017",2,4:59
James Vick,Win,11–1,Polo Reyes,TKO (punches),UFC 211,"May 13, 2017",1,2:39
James Vick,Win,10–1,Abel Trujillo,Submission (D'Arce choke),UFC Fight Night: Bermudez vs. Korean Zombie,"February 4, 2017",3,0:49
James Vick,Loss,9–1,Beneil Dariush,KO (punch),UFC 199,"June 4, 2016",1,4:16
James Vick,Win,9–0,Glaico França,Decision (unanimous),UFC 197,"April 23, 2016",3,5:00
James Vick,Win,8–0,Jake Matthews,Submission (guillotine choke),UFC Fight Night: Miocic vs. Hunt,"May 10, 2015",1,4:53
James Vick,Win,7–0,Nick Hein,Decision (unanimous),UFC Fight Night: Edgar vs. Swanson,"November 22, 2014",3,5:00
James Vick,Win,6–0,Valmir Lazaro,Decision (unanimous),UFC Fight Night: Henderson vs. dos Anjos,"August 23, 2014",3,5:00
James Vick,Win,5–0,Ramsey Nijem,Submission (guillotine choke),UFC Fight Night: Shogun vs. Sonnen,"August 17, 2013",1,0:58
James Vick,Win,4–0,Chris Pecero,Decision (unanimous),Back Alley Promotions,"September 3, 2011",3,5:00
James Vick,Win,3–0,Mike Salazar,TKO (punches),STFC 16 - All or Nothing,"August 12, 2011",1,2:17
James Vick,Win,2–0,Jimmy Taylor,Submission (armbar),Xtreme Knockout 11,"July 23, 2011",1,1:56
James Vick,Win,1–0,Cody Carrillo,Submission (rear-naked choke),Undisputed MMA 1,"June 18, 2011",1,3:30
Alexander Hernandez,Win,11–2,Francisco Trinaldo,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Alexander Hernandez,Loss,10–2,Donald Cerrone,TKO (head kick and punches),UFC Fight Night: Cejudo vs. Dillashaw,"January 19, 2019",2,3:43
Alexander Hernandez,Win,10–1,Olivier Aubin-Mercier,Decision (unanimous),UFC on Fox: Alvarez vs. Poirier 2,"July 28, 2018",3,5:00
Alexander Hernandez,Win,9–1,Beneil Dariush,KO (punch),UFC 222,"March 3, 2018",1,0:42
Alexander Hernandez,Win,8–1,Derrick Adkins,TKO (punches),LFA 27,"November 10, 2017",3,1:53
Alexander Hernandez,Win,7–1,Chris Pecero,Submission (rear-naked choke),RFA 41,"July 29, 2016",1,1:27
Alexander Hernandez,Win,6–1,Rodrigo Sotelo Jr.,Submission (rear-naked choke),Hero FC: Best of the Best 6,"September 26, 2015",1,4:44
Alexander Hernandez,Win,5–1,Jacob Capelli,Decision (unanimous),Hero FC : Best of the Best 4,"January 17, 2015",3,3:00
Alexander Hernandez,Win,4–1,Martin Walker,TKO (punches),Hero FC: Best of the Best 3,"September 12, 2014",1,2:59
Alexander Hernandez,Win,3–1,Joel Scott,Decision (unanimous),Hero FC: Texas Pride,"September 28, 2013",3,3:00
Alexander Hernandez,Loss,2–1,Jamall Emmers,Decision (split),Hero FC: Pride of the Valley 2,"June 21, 2013",3,5:00
Alexander Hernandez,Win,2–0,David Salazar,TKO (punches),El Orgullo del Valle,"March 16, 2013",1,0:34
Alexander Hernandez,Win,1–0,Dimitre Ivy,Decision (unanimous),Kickass Productions,"October 20, 2012",3,3:00
Francisco Trinaldo,Loss,23–7,Alexander Hernandez,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",3,5:00
Francisco Trinaldo,Win,23–6,Evan Dunham,TKO (knee to the body),UFC Fight Night: Santos vs. Anders,"September 22, 2018",2,4:10
Francisco Trinaldo,Loss,22–6,James Vick,Decision (unanimous),UFC Fight Night: Cowboy vs. Medeiros,"February 18, 2018",3,5:00
Francisco Trinaldo,Win,22–5,Jim Miller,Decision (unanimous),UFC Fight Night: Brunson vs. Machida,"October 28, 2017",3,5:00
Francisco Trinaldo,Loss,21–5,Kevin Lee,Submission (rear-naked choke),UFC Fight Night: Belfort vs. Gastelum,"March 11, 2017",2,3:12
Francisco Trinaldo,Win,21–4,Paul Felder,TKO (doctor stoppage),UFC Fight Night: Cyborg vs. Lansberg,"September 24, 2016",3,2:25
Francisco Trinaldo,Win,20–4,Yancy Medeiros,Decision (unanimous),UFC 198,"May 14, 2016",3,5:00
Francisco Trinaldo,Win,19–4,Ross Pearson,Decision (unanimous),UFC Fight Night: Dillashaw vs. Cruz,"January 17, 2016",3,5:00
Francisco Trinaldo,Win,18–4,Chad Laprise,TKO (punches),UFC Fight Night: Holloway vs. Oliveira,"August 23, 2015",1,2:43
Francisco Trinaldo,Win,17–4,Norman Parke,Decision (split),UFC Fight Night: Condit vs. Alves,"May 30, 2015",3,5:00
Francisco Trinaldo,Win,16–4,Akbarh Arreola,Decision (unanimous),UFC Fight Night: Maia vs. LaFlare,"March 21, 2015",3,5:00
Francisco Trinaldo,Win,15–4,Leandro Silva,Decision (unanimous),UFC Fight Night: Bigfoot vs. Arlovski,"September 13, 2014",3,5:00
Francisco Trinaldo,Loss,14–4,Michael Chiesa,Decision (unanimous),UFC 173,"May 24, 2014",3,5:00
Francisco Trinaldo,Win,14–3,Jesse Ronson,Decision (split),UFC Fight Night: Machida vs. Mousasi,"February 15, 2014",3,5:00
Francisco Trinaldo,Loss,13–3,Piotr Hallmann,Submission (kimura),UFC Fight Night: Teixeira vs. Bader,"September 4, 2013",2,3:50
